id,content,rate,created_at,product_id,user_id
23,"These are very nice tent cards that are perfect for large events, particularly when you want to be able to see a person's name or company from afar. Each sheet produces two tents, with just a tiny strip of paper at the top and bottom that needs to be torn away. The &#34;embossing&#34; on the card is a simple rectangle that gives the tent a nice finished look.<br /><br />I've found that the first few times I use them, the Avery templates require a little bit of a learning curve on my part, but they are simple to use once I put some practice in. For these particular tents, because they are so basic (and because there are only two per sheet), they were quite simple. And there were a lot of options to choose from on the Avery website.",5,,2,209
24,"There are two tent cards per sheet, and they are slightly embossed - there is a line all around each side of the card at about half an inch from all edges.<br />I liked that it can be used with both laser and inkjet printers. I used laser printer, and the cards came out well. They are easy to separate - you need to fold them back and forth to do it, and they leave slightly bumpy edge because of the tiny perforations. Folding the cards was a little harder because some of the cards wanted t fold on the embossing lines as opposed to the folding line, so I had to be careful about that, but they turned out to look OK. I liked that their online template shows you the right way of how the card will look placed on the desk, not upside down",4,,2,216
25,"Very similar to the Avery White Laser & Ink Jet 3 1/2 x 11 Inch Tent Cards, the Avery White Laser & Ink Jet 2 1/2 x 8 1/2 Inch Tent Cards are just a bit small and cannot hold as much information as the larger ones, but still are impressive and large enough to be noticed on a table or display. Like all the Avery products I've used, these cards live up to the standards I have set for Avery. They are a nice size, made of heavy-weight card stock, have an embossed framing and are easy to print and tear apart. These cards are a nice size and would work well for name plates, titles with descriptions, logs with business names, buffet cards listing name and ingredients, etc.<br /><br />To print, one can either use the software of can go to Avery's website and use the online designer (which is my preference). There are so many designs to choose from and you end up with a nice professional look in very little time. One suggestion is to print a test print on plain paper/card stock before committing to the cards since each printer prints a bit differently.<br /><br />I am very pleased with the Avery White Laser & Ink Jet 2 1/2 x 8 1/2 Inch Tent Cards and would recommend them for business, clubs as well as personal use.",5,,2,356
26,We've been impressed with these Avery tent cards.  They print well using Avery's program and our Oki LED printer.  My wife has been using them at sales and is having good success getting the results she wants.,5,,2,201
27,"These are the perfect weight for tent cards, heavy enough not to get knocked over by the casual breeze or person walking by.  I am not able to find the weight of the paper itself, as I haven’t been able to for any of the Avery cards.  I always check this for cardstock so I would have assumed it would be easier to find.<br /><br />One thing that bothers me is the edges on these pages.  The cards do not go to the edge of the page.  Is that because of some standardized tent card size that I don’t know about?  It says to bend the scored parts back and forth until it comes apart easily but I still had edges that were rough.  Why don’t the cards just go to the end of the page?  That way the pages still go through the printer without messing with the tray, but doesn't have to be bent all the extra times.<br /><br />It says ~Embossed~ under the Medium and Tent Cards.  That means the name Avery is embossed with its logo.",3,,2,273
28,Unlike most name card tents this one has two name cards per page.<br />The smaller size is just as effective as the larger sizes.  The smaller size offers a readable name card with a smaller footprint.<br /><br />Like all Avery products has good quality card stock.<br />Holds both printer ink and ink from pens well.,5,,2,240
29,"These Avery Tent cards are great for advertising items on display. I used mine with a laser printer and they looked great. They also work with ink jet printers. The printing was really clear. Avery has templates, but my design was very simple and a template wasn't necessary. My printer was able to pick up the sheets easily and run them through from the tray. The perforation separates well and then a simple fold makes it into a tent. The paper isn't really thick and may move around with a bit of a breeze, but the cards are great for one or two uses. They hold up well and were ideal for my project.",4,,2,156
30,"Originally I thought of Avery as a label company, but over the past five or so years they've come out with a range of products geared towards branding and marketing.  I've tried quite a few and have always been impressed with the quality and these were no exception.  I thought the paper quality was high and it was easy to use the perforations to separate them without ripping or jagged edges.<br /><br />There are also tons of designs available - 432 - to be used with this product in Avery's online design and print too.  Some of the Avery products I've gotten haven't had many available designs, so I really appreciated the range to choose from.  That said, many of the designs looked a bit outdated or cheesy for my tastes.  They don't seem to be on par with the templates I've seen offered on Etsy or for free on blogs.  If you have a certain aesthetic in mind you may want to peek at Avery's library before purchasing to see if you find something you like.  Once you do find a style I do think Avery makes it intuitive to personalize your design, which I appreciate, and I like that you can design and print online so no software is necessary.<br /><br />Overall, I'm quite impressed with these.  I think that the quality of the paper good and I like that there are a ton of designs available, though I wish that overall the designs were of higher quality",4,,2,132
31,"These cards are simple, but they definitely are better than merely printing on a piece of paper and folding it. I imagine it would be best for a meeting where everybody doesn't know each other. However, I am using them to be placed out in front of papers on a table in order to identify what is on the table and to direct people as to which papers to grab. For this purpose, printing is basically just as fast as printing onto a standard piece of paper and folding it, but the result is much more professional looking. With the templates from Avery.com designing and printing takes seconds.",5,,2,223
32,"Avery has for years made innovative and unique paper products for at-home or business printing, and this is no exception.<br /><br />Pros:<br />-High quality<br />-Good templates for popular software<br />-Reasonably Priced<br /><br />Cons:<br />-None!",4,,2,285
33,"I really liked these tent cards, they were easy to design and print with Avery's online designer software and the size is perfect for my needs, not so small that you can't read them, but not large enough that they stick out. Could be easier to separate and a bit pricey for how many you get but if you just need them for a special event they are worth getting.",4,,2,378
34,"If you have an event where you need place cards for guests, such as a wedding or convention, you might find the Avery Laser & Ink Jet 2 12 x 8 12 Inch White Tent Cards 100 Count (5305) useful. These tent cards can be printed to any inkjet or laser printer, and look great.<br /><br />The package has 50 sheets that each have 2 tent cards on them, for a total of 100 tent cards. Avery includes instructions in the package that provide a web address where you can download the Avery design software or use their online design tool. I installed the software on two different Windows 7 x64 computers, and the software didn’t work on either of them. When I try to launch the software, it presents a blank window with no options. The online design tool works much better and has a lot of options to choose from, including different designs, backgrounds, etc. You can save your project to your computer so that you can print it later without having to design it again.<br /><br />These tent cards are easy to use and look great. I would recommend them.",5,,2,274
35,"These Avery Laser & Ink Jet 2 1/2 x 8 1/2 Inch White Tent Cards look very professional and are made of nice card stock. There are a lot of templates available on the Avery site but it is always a good idea test print to plain page before printing on the &#34;good&#34; stock.<br /><br />There are two cards per page and they are just the right size for use on shelves as product labels. The final results look great, which is the most important thing.<br /><br />Highly Recommended!<br /><br />CFH",5,,2,307
36,"The medium size tent cards are a little too big for seating at a wedding.  They are little too small for panel guests at a convention.  They are just right for a booth at that convention.<br /><br />Imagine a letter size paper.  Fold it in half and tear.  Fold that in half lengthwise.  That's the size of the tent card, too large for place seating at a wedding but good for a display table.<br /><br />You could make your own tent cards out of cardstock, but these tent cards are embossed so that the outer edge looks like a frame.  That subtle touch makes a difference.  The cards are also lightly scored, to make folding sharper and cleaner.  I like it.",5,,2,219
37,"These avery products are great. They fit well into our laser printer and the quality is very high. They have great online tools to create great looking templates and they are great starters for almost every design. We use these for affordable solutions to marketing solutions. We can print a variety of great looking designs and have them all work for a particular need without paying for high cost printing. All in all, Avery are a high quality, easy solution to our unique small business needs. If you have a reliable printer then you have first class printing at your finger tips.",5,,2,276
38,"These are great, sturdy tent cards for a multitude of events. They're long to provide adequate space necessary for longer names and/or logos and are sturdy enough to give your event a professional touch.",5,,2,172
39,Tent cards area great way to assign places and these allow you a great easy way to personalize them with your logo and any additional information you may need to include.  A great alternative to purchasing pre-made cards.,4,,2,87
40,The card stock on these tent cards is impressive for something that can be made on one’s own computer.  These are easy to make and look great.  It literally takes a few minutes to pick and create a personalized design from the 423 designs available on the Avery Web site. These can be used both in a laser and inkjet printer. I created a sample design and printed it both in a laser and inkjet printer and both looked fine. The word Avery is embossed ont he botton left of each card.   The card stock and embossing looks great for something that can be made on a home or office computer.  I have seen thicker stock but this is fine for my needs and I would be comfortable placing these on  tables at meetings or seminars.  This is a great product that is easy to use and looks professionally made.,5,,2,375
41,"This Mead Filler Paper is fairly standard, if just a little thinner than higher quality notebook paper. This is a decent deal as an add on product with free shipping.<br /><br />Recommended for casual writing needs.<br /><br />CFH",4,,3,307
42,"It's notebook paper … What's to say.  The package was intact, and the lines were clear.  Not much else to describe.",4,,3,121
43,"This is fairly standard stuff. It's a little too thin to be great (and yes, if you write on it with a gel pen or other pens that have thick and dark ink, don't plan to be able to use the other side of the paper as well). I have one of Five Star's 100-sheet graph paper packs, and this 200-sheet pack is definitely not twice as thick.<br /><br />This'll be fine as basic paper to have around, but I don't really see anything special that would make me keen to seek out this specific item vs any random packet of filler paper that happened to be available at a reasonable price when I need some.",3,,3,302
44,"This is good paper and the price is very reasonable.  Since I homeschool 2 elementary children, I needed the wide-ruled.<br /><br />My only complaint would be that I can't get a package that's a ream and I really prefer 8 1/2 x 11 (but can't find that anywhere so it's not an Amazon issue).",4,,3,296
45,"As far as filler paper goes, this is about as good of quality as you're going to get.  That being said, it is just filler paper. The same stuff sold in bulk about this time of year for back to school and normally found for less than $1. Of course when you need it during the other months, why not add it on to an order here and have it delivered.  Just make sure to find out whether your child needs Wide Ruled or College Ruled.",4,,3,318
46,"The Mead Filler Paper is a basic pack of ruled paper of good quality. The listing indicates that it is 8 x 10.5, which is not the full letter size paper of days gone by. You can find similar packs of paper for less than half the cost during Back to School sales.<br /><br />PROS:<br />- Decent quality<br /><br />CONS:<br />- A bit expensive<br /><br />COMMENTS:<br />- No full letter size (as indicated in the listing description)",4,,3,321
47,"Paper is needed for school work as the fall semester begins.  We have always, always used Mead sheets and will as long as they make them.",5,,3,312
48,Great quality paper. This is a great paper for all your school work and homework. The paper feels like great quality. The paper is bold and bright. Not like most that is dull. Overall great for back to school and to use in your three ring binders.,5,,3,115
49,Excellent,5,,3,155
50,"It's paper.  There isn't much to say about a sheet of paper.  However, I did notice that the quality of this paper is really thin.  However, it serves the purpose if you are looking for paper.  If you are looking for something that looks nicer, then you should look elsewhere.  This would be good paper for a young student as it is wide ruled will serve the purpose for homework assignments scrap paper.",3,,3,54
51,"The Mead Filler Paper is a little thinner than I expected but fine for taking notes or making lists. It's a good, basic paper for everyday use, which is fine for my needs.<br /><br />Because it's so thin, don't count on using both sides even though it does have ruled lines on the back. I tried writing with a variety of pens and pencils, and all of the pens showed an impression on the back side.Pencil did not show through and, surprisingly, my highlighter did not bleed through.",3,,3,354
52,"This is a decent pick if you are getting a generally lower quality pack of loose leaf paper.  I'm a high school history teacher, so I go through and encounter a lot.  This is definitely thinner, which means you're more likely to poke through it with vigorous writing or a couple of erasures.  For this price, I would just run out to an office supply store where I think you could do better.",3,,3,107
53,"I am so disappointed in Mead. I know that this is a standard product, not a luxury version. It is just plain old lined paper. But it is such bad paper. It is thin. It has not tooth. The printing of the lines is not consistent. They are darker in some places than others.  It is thin enough that my lefty went through it easily.<br /><br />This all just makes for an awful writing experience. Basic doesn't have to mean worthless.",2,,3,61
54,I LOVE THIS!!!,5,,3,3
55,"This is a bit on the thin side, but it works fine.  No bleed through to the other side.  It's good to have some extra paper around to write on and to fill notebooks with.",4,,3,387
56,"I know the quality of everything has deteriorated over the years, and I should be used to it by now, but I was still surprised at how flimsy and thin this paper is. It's too thin to slip into a binder pocket or folder without crumpling up, and for the same reason, I can't put it back in the package if I've pulled out a few too many sheets. Furthermore, if you write on both sides of the paper in ink, too much of the writing from the other side shows through. It's functional, but disappointing.",2,,3,198
57,This is basic filler paper that fits in the three ring binders I have in my office.  It stays in the binders without tearing. The quality is average to good.<br /><br />I rarely look at other reviews but I was wondering what people would comment on when reviewing simple filler paper. I did notice that people indicated the paper was thin or of a lesser quality.  I can’t speak to what they received since paper can change or vary from shipment to shipment but the paper I got is fine. It is average to good quality filler paper.<br /><br />This is perfect for my office.,4,,3,375
58,Works as intended.,5,,3,112
59,"Good value at amazon.  Paper is thin, comparable to cheap notebooks.  Holes fit the binder and no problem writing on the paper.  Lines are good and not too dark.  Cheap enough to toss and to use as scrap paper.",4,,3,242
60,"This is a good-quality standard loose leaf notebook filler paper with a nice smooth finish.  It is wide-ruled, printed on obverse and reverse at 11/32 in. intervals with blue lines plus a pink margin line on the left.  There are three pre-punched holes in the margin for use with ring binders.<br /><br />The pack of 200 sheets is wrapped in plastic.<br /><br />This paper is made in the USA from SFI-certified fiber and is recyclable.",5,,3,197
61,"Standard filler paper, slightly on the thin (translucent) side but works well for writing notes and such...",3,,3,366
62,"Some kids go through paper like it very disposable. A couple of marks on one sheet and it's in the garbage. So if you have a kid who just scribbles and doesn't need paper to turn in nice neat assignments, this is okay. If you don't have a big budget to buy other paper, this is okay.<br /><br />However, if you have a choice, there has to be some better options out there. This paper is very thin. While you can certainly write on it, pen or pencil and even highlighter, it is hard to erase and leaves an impression and residue of the erased pencil.<br /><br />It will do in a pinch.",3,,3,361
63,"In my opinion, these sheets are quite thin. I was expecting a premium paper stock. One can get a ream of paper and thereby achieve scale for value purposes, yet these are nice ruled sheets even if they are thin.",3,,3,359
64,"This is filler paper that comes pre-punched with three holes to be inserted into a 3-hole binder.<br /><br />The paper is thick enough that you won't see through it and can write on both sides. It won't immediately break from being taken in and out of the binder (after a while you'll probably want to have some reinforcements around).<br /><br />The price point makes it a bit of a lousy investment though. This paper is on the thinner side and there are only 200 sheets in the packet. at the beginning of the school year, you are usually able to buy Staples or Office Depot brand on sale for 99 cents. This paper does not provide anything special for the extra money (it's currently $2.99 per 200 sheets on Amazon).",3,,3,256
65,"This paper is on the thin side, so I don't recommend it if you need something more heavy duty. For average use, it should still be fine, though.",3,,3,261
66,Great purchase. Worth every penny.,5,,4,164
67,"This doesn't stand out from other filler paper brands. It's typical - college ruled, lined in light ink (prefer it over dark ink), and decent thickness for school work.",4,,4,236
68,"This filler paper is pretty good.  You wouldn't think you could screw up something like lined paper, but honestly, I easily notice a difference between the cheap store brands and name brands like this one.  This one is definitely better.  It feels sturdier, like it'll tear less easily and it's not as thin.<br /><br />The only reason I gave it four stars was because it's not as thick and nice as some brands, but it's decent for the price.  It's pretty much middle-of-the-pack as far as price/quality goes.  My favorite is the reinforced Five Star paper - I have yet to find better quality than that.  But in a pinch, this will do nicely!",4,,4,249
69,"Loved by my daughter. She filed it in a binder and used for writing lot of reports during the summer break. Reasonably thick, nice rulers and good for kids!",5,,4,230
70,"I think this is some good quality paper, I have no complaints whatsoever, I love to write so having lots of paper around is a must for me. I will say that the cost of these is very pricey, I can assure you can find them cheaper elsewhere.",4,,4,43
71,"These looseleaf filler pages are useful for a binder. They are not too thin or too thick and writing on both sides does not make it bleed through.<br /><br />As for the price, I find it a bit stiff ($4.00 currently on Amazon). Several of the office product stores offer discounts as part of the back-to-school promotions and one can buy 200 pages for a lot less money.<br /><br />Good product? Sure. Good value? Not so much.",4,,4,256
72,"I'm not surprised that Mead paper has gone on a diet over the years and become thinner.  (I wish I could get thinner.)  I've noticed that even the pages in my hardback novels have also become thinner, reminding me of newspaper print from many years ago.  Everyone is going GREEN in a concerted effort to save the planet.  I am always carrying green tote bags to the grocery store.<br /><br />  The college ruled paper is perfect for my tiny, illegible scribbling.  I am able to write on both sides of the sheet if I write in pencil.  If I use an ink pen, I can only write on the front.  The pink left-hand margin and the blue lines are easy for me to see.  The paper is easy to write upon.  It is not slick or gritty.  The ink does not bleed, smear or run; it dries quickly.<br /><br />  I belong to the Gift Bearers Collectors Club.  We are sponsored by Amy's Hallmark in Chesapeake, Virginia.  Every year, we purchase school supplies and donate them to a children's organization, For Kids.  I always buy Mead 3-ring binders and fill them with Mead paper, both college ruled and wide ruled.  When I think of Mead, I think of school supplies.<br /><br />Joseph B. Hoyos",5,,4,228
73,"This paper is a little on the thin side, but my son said that's better.  He can hold more paper in his binder.  He's been using it for school and says it works as well as any other paper.<br /><br />The holes are punch so that it fits the binder rings without catching.  Markers will, of course, bleed through.  Ballpoint pens will cause indentations.<br /><br />Overall, my son is satisfied with the paper.  He doesn't look at it with a critical eye.  Honestly, I normally wouldn't, either.",4,,4,219
74,This is good basic notebook paper.<br /> Not the heaviest weight you will find but nice enough for your kids note taking in school.<br />Works well with our ink gel pens unlike some other paper we have that tends to bleed and is hard to write on have not had any issues with the Mead brand paper even using our sharpie ultra fine point which surprised me a little bit.<br />Nice clean lines and holes lined up fine in the binder we keep it in.,3,,4,202
75,"This is very basic college ruled filler paper. It's a bit thin, but it works perfectly fine for average use.<br /><br />There's nothing special about it, but I also have no complaints. Very basic paper.",4,,4,261
76,"As many are noting, this is thin paper.  A marker will bleed through so that you can use only one side, but a standard ink pen won't unless you're one who really bears down when writing.  Other than that, this is adequate for high school students, but nothing outstanding.",3,,4,247
77,"I am getting really frustrated that so many companies now offer a cheapie version of a product and then nicer more serviceable versions. The cheap version can be simple and no frills but it is ridiculous to make the cheap version useless.<br /><br />This paper is so thin you can see the writing on the following page (not just the other side) through it. The gentlest of marks scars the paper as if you dug the pen in. The paper has no tooth at all. It is as slick as writing on wrapping paper. Not only is it not pleasant to write on, it doesn't facilitate good penmanship. The holes are punched haphazardly. There were hanging tabs that didn't punch all the way out. There were ridges where the punching was uneven around the hole so that the paper sticks on the three ring binder.<br /><br />Lastly if you are a lefty this is just plain useless.",1,,4,61
78,"This is fairly standard as notebook paper goes. The quality isn't amazing, but it's also not rubbish. It's roughly equivalent to what I'm used to finding in most college-ruled notebooks I encounter. The size is a bit under standard letter size. That can be inconvenient if you're expecting letter-sized paper, obviously. If you're buying paper for a course that uses one of those tiny little desks at some schools that give you almost no room to work, though, a little undersized is probably just right.",4,,4,302
79,"I thought, at first, that this was pretty unremarkable filler paper; it looks pretty typical. Sure, it's on the cheaper end of quality, but notebook paper needs to last through an assignment, not through the years. So I don't mind that the surface isn't exactly smooth or that it feels flimsy. And the paper appears to be a standard size, but it's not; instead of being 8 1/2 x 11, it's only 8 x 10 1/2. Sure, that's labelled on the product and listed in the product description, but who thinks to look at the size when you expect notebook paper to be standard?<br /><br />But there's an even greater issue with size for me--the huge margins! The left margin is 1 1/2 inches wide, while the right margin is 1 1/4 inch. That leaves only 5 1/4 inches of writing space. It's a ridiculous amount of wasted space, especially since this is college-ruled paper! At a little over 1 1/2 inches, the top margin just further contributes to wastefulness. I imagine that a student could run through this paper pretty quickly and never even have a clue as to why.",2,,4,209
80,"Paper is paper right? But knowing that the holes line up, that the rules are spaced as you want them and that you can write easily are important. This is college ruled so the lines are closer together. It is mediocre in thickness, nothing fancy, really basic. It writes on easily and erases with little left behind.<br /><br />It is a basic pack of refill paper for any three ring binder.",4,,4,361
81,"Mead Filler Paper,  200 College Ruled Sheets, is your basic notebook paper to fill a binder with. It's the same filler paper I used in high school and college. While it's a little thinner than it used to be, it's still a very decent paper. As it has always been, notebook filler paper that can hold up to rapid note taking. And note passing...",4,,4,340
82,"This paper is fine for most binder uses. Yes, it is thin, but considering most will be recycled or in a landfill, thin is ok in my book ( pun intended).<br />The lines are not as crisp and sharp as they could be, but if it keeps the cost down or uses less harmful dyes, that's ok, too.<br />This is plain old utilitarian notebook paper...suitable for all but the most persnickety of users.",4,,4,90
83,Just the right amount of college ruled filler paper to get you started in school!,5,,4,128
84,"This is a good basic paper for notes.  The lines are straight and don't bleed (at least in my package). That said, I found the paper to be too thin for anything but notes on one side.  I've been researching my family tree and admittedly I do press hard on paper with ink or pencil, if I write on top of the stack of notebook paper, then you can see the indentations about four or five sheets in.<br />The thinness also creates issues with any type of marker - bleeds through the back.<br /><br />The paper is good for notetaking.  However, it is smaller than a normal sheet of paper at 10-1/2&#34;x8&#34;.  If I put it in a binder with &#34;normal&#34; size papers the sheet can get &#34;lost&#34; in the pile.<br /><br />Again, this is a nice paper for taking notes, but it is not heavy duty in terms of thickness.",3,,4,393
85,"This is a good pack of regular loose sheets of paper not bound with anything. Great for using in 3 ring binders. The paper arrived sealed in plastic and without any of the corners being bent or damaged. It would pouring rain yesterday when the package the paper was shipped in was delivered, and despite the Amazon packaging being soaked through, the paper is sealed so well from the manufacturer that it was still completely dry. It fit perfectly into the binder I got it for and it's a wide enough ruled paper that one doesn't have to write supper tiny. Great for school age kids.",5,,4,83
86,"This Mead Filler Paper is 200 sheets of decent quality college ruled paper. The paper is a little thinner than what I would normally expect, but it is still perfectly usable for casual note taking.<br /><br />Recommended!<br /><br />CFH",4,,4,307
87,Was looking for a lightweight cutter that wasn't too bulky but could still handle several sheets. I love this cutter. The guidelines are clearly marked and the blade cuts easily. No ripped/bent papers. Easily goes through 10 sheets at a time. Perfect for a small office.,5,,5,260
88,A little disappointed by the flimsiness of the product. I have some concern over the durability. I seems to work fine on 1 or 2 sheets of 20# paper ( all I have right now). I will try on other materials in the next few days and see.,4,,5,60
89,"I use paper cutters primarily for origami, where getting straight and accurate cuts is CRITICAL. Unfortunately it's very hard to get them correct with this trimmer. First, the guides are relatively wide compared to other cutters, so it's hard to know where precisely to line the paper up. The other issue is that the guide in the middle of the cutter is further down on this larger size than on the smaller model. This makes is much more difficult to line paper up if you are cutting to sizes of around 6 inches or less, which I very often am (cutting 12x12 scrapbook paper to 6x6). It doesn't handle multiple sheets particularly well, I could do about 3 or 4 before I started having issues, but it's the accuracy of it that is the biggest issue for me personally. If you don't need perfect cuts though it's a good enough trimmer and certainly will do the trick for photo use and other less critical jobs.",3,,5,378
